Algorithm,Mean Budget,Std Budget,Mean Avg Temp,Std Avg Temp,Mean Hotspot Temp,Std Hotspot Temp
Random Insertion,1478.0,15.033296378372908,28.558181796352102,0.16235958378466447,31.680876562244,0.1600783870749738
GA,1461.0,28.0,28.554727188154107,0.13195867718964216,31.570365710908117,0.31275469276236145
ACO,1497.0,4.0,28.392358555386778,0.09815220913882543,31.58530609447093,0.1975730388347184
ACO + Cand Ph,1485.0,15.491933384829668,28.158024340499775,0.18143744213951146,31.492868285455273,0.2208793664916763
